power,alpha,max_iter,lambda,F1Score
3,0.5,10000,0,0.7998737373737375
3,0.5,10000,0.2,0.836437908496732
3,0.5,10000,0.4,0.7877005347593583
3,0.5,10000,0.6,0.7877005347593583
3,0.5,10000,0.8,0.7877005347593583
3,0.5,10000,1,0.7877005347593583
