name,alpha,max_iter,lambda,J_train,J_cross
w2d4t4,0.1,300000,1,65120015.40450382,39011139.50303117
w3d1t1,0.1,30000,0,885537312.0049212,868998280.1309332
w3d1t1,0.1,30000,0.2,886729495.1440573,869261418.5472394
w3d1t1,0.1,30000,0.4,887893767.4442787,869525518.7966944
w3d1t1,0.1,30000,0.6,889033651.9327359,869788024.4151977
w3d1t1,0.1,30000,0.8,890152092.5183066,870047098.440236
w3d1t1,0.1,30000,1,891251565.3965805,870301450.8863473
w3d1t2,0.1,30000,0,885532102.7329248,868880053.2246491
w3d1t2,0.1,30000,0.2,886724277.4848284,869143550.3096243
w3d1t2,0.1,30000,0.4,887888538.8820034,869407970.7036382
w3d1t2,0.1,30000,0.6,889028410.2904238,869670762.0692031
w3d1t2,0.1,30000,0.8,890146835.9011083,869930091.0831363
w3d1t2,0.1,30000,1,891246292.1461877,870184670.9737679
w3d1t3,0.1,30000,0,885424980.9499778,869289731.8544347
w3d1t3,0.1,30000,0.2,886625387.2828403,869523447.9394683
w3d1t3,0.1,30000,0.4,887796779.6469296,869761835.0152037
w3d1t3,0.1,30000,0.6,888942877.5229883,870001757.2674252
w3d1t3,0.1,30000,0.8,890066779.927125,870240901.4815948
w3d1t3,0.1,30000,1,891171086.4942445,870477584.3255557
w3d1t4,0.1,30000,0,885435942.4008178,869230491.8074788
w3d1t4,0.1,30000,0.2,886631609.1298896,869479916.7999201
w3d1t4,0.1,30000,0.4,887798967.5587487,869731498.5151491
w3d1t4,0.1,30000,0.6,888941621.082832,869982543.7364076
w3d1t4,0.1,30000,0.8,890062573.8395715,870231096.5541292
w3d1t4,0.1,30000,1,891164347.610048,870475763.3666238
w3d2t1,0.1,100000,0,169196701.6553692,176092324.72127938
w3d2t1,0.1,100000,0.2,177023558.0844034,176134370.18988296
w3d2t1,0.1,100000,0.4,184700500.16501063,176314672.5265452
w3d2t1,0.1,100000,0.6,192234713.95616063,176620838.84297115
w3d2t1,0.1,100000,0.8,199632589.63158777,177042418.7590414
w3d2t1,0.1,30000,1,206900110.5775348,177596644.2890831
w3d2t2,0.1,100000,0,169196318.61096632,176121701.24709073
w3d2t2,0.1,100000,0.2,177023223.37323037,176161658.9691717
w3d2t2,0.1,100000,0.4,184700210.36036915,176339911.70788595
w3d2t2,0.1,100000,0.6,192234465.60771155,176644067.17394626
w3d2t2,0.1,100000,0.8,199632379.2969482,177063675.19132552
w3d2t2,0.1,30000,1,206899934.83333603,177615996.5166818
w3d2t3,0.1,100000,0,169194302.2085414,176090072.19574264
w3d2t3,0.1,100000,0.2,177021058.81543273,176131391.94109467
w3d2t3,0.1,100000,0.4,184697905.64559397,176311030.5728362
w3d2t3,0.1,100000,0.6,192232028.3295006,176616581.28619075
w3d2t3,0.1,100000,0.8,199629816.66830456,177037583.1480946
w3d2t3,0.1,30000,1,206897253.7250429,177591140.6503018
w3d2t4,0.1,100000,0,169194327.594641,176091775.03336
w3d2t4,0.1,100000,0.2,177021060.01475793,176132108.8356914
w3d2t4,0.1,100000,0.4,184697862.3894735,176310662.4716547
w3d2t4,0.1,100000,0.6,192231928.29417753,176615109.34276402
w3d2t4,0.1,100000,0.8,199629651.08947808,177035033.2461845
w3d2t4,0.1,30000,1,206897016.73237717,177587768.40080857
w3d3t1,0.1,300000,0,12383538.343373487,13760227.721680434
w3d3t1,0.1,300000,0.2,76872363.53918892,49969450.06999178
w3d3t1,0.1,300000,0.4,98171615.01806414,73125139.21090184
w3d3t1,0.1,300000,0.6,109767761.6225737,86535284.55225778
w3d3t1,0.1,300000,0.8,117755962.50573549,95021452.00493991
w3d3t1,0.1,300000,1,124004024.09339792,100859529.36424118
w3d3t2,0.1,300000,0,12372067.223453606,13697663.444949368
w3d3t2,0.1,300000,0.2,76869796.28366458,49919369.627638444
w3d3t2,0.1,300000,0.4,98170554.11567852,73088544.55075862
w3d3t2,0.1,300000,0.6,109767168.79769033,86506684.1038952
w3d3t2,0.1,300000,0.8,117755569.49250156,94997688.55889066
w3d3t2,0.1,300000,1,124003732.52127618,100838844.60269177
w3d3t3,0.1,300000,0,12370697.830089144,13706134.52471334
w3d3t3,0.1,300000,0.2,76869765.71912721,49921526.63830499
w3d3t3,0.1,300000,0.4,98170525.41547829,73086020.63158491
w3d3t3,0.1,300000,0.6,109767051.63590795,86501518.40340592
w3d3t3,0.1,300000,0.8,117755369.95453188,94990997.22719067
w3d3t3,0.1,300000,1,124003464.02791734,100831247.46363439
w3d3t4,0.1,300000,0,12370695.624589602,13705596.400287027
w3d3t4,0.1,300000,0.2,76869754.55493028,49921450.29364911
w3d3t4,0.1,300000,0.4,98170522.87344426,73086123.81557904
w3d3t4,0.1,300000,0.6,109767051.63441448,86501513.60068099
w3d3t4,0.1,300000,0.8,117755367.81008175,94990737.35173146
w3d3t4,0.1,300000,1,124003456.579591,100830661.02272065
w3d4t1,0.1,300000,0,12230189.947587684,13266184.793395996
w3d4t1,0.1,300000,0.2,29710050.53874489,17272279.029996905
w3d4t1,0.1,300000,0.4,41891786.78611724,23317483.935708977
w3d4t1,0.1,300000,0.6,51137698.67912851,29311107.737722974
w3d4t1,0.1,300000,0.8,58555006.479316,34738545.09159183
w3d4t1,0.1,300000,1,64751634.16660981,39524681.181037195
w3d4t2,0.1,300000,0,12217627.002884181,13201566.924358815
w3d4t2,0.1,300000,0.2,29701424.211293764,17204657.008013897
w3d4t2,0.1,300000,0.4,41885318.960602045,23251831.291792803
w3d4t2,0.1,300000,0.6,51132560.38990612,29248537.985064283
w3d4t2,0.1,300000,0.8,58550749.56987594,34679086.93401056
w3d4t2,0.1,300000,1,64747993.18612641,39468053.25881499
w3d4t3,0.1,300000,0,12214179.633643221,13216662.123470724
w3d4t3,0.1,300000,0.2,29699324.066256225,17218458.458643157
w3d4t3,0.1,300000,0.4,41883972.464149594,23263885.45424064
w3d4t3,0.1,300000,0.6,51131655.9780824,29258886.714434184
w3d4t3,0.1,300000,0.8,58550121.55131777,34687908.82333607
w3d4t3,0.1,300000,1,64747546.82948373,39475549.232595325
w3d4t4,0.1,300000,0,12214197.88830759,13216024.682237672
w3d4t4,0.1,300000,0.2,29699223.72159031,17218618.953449097
w3d4t4,0.1,300000,0.4,41883822.679440126,23264817.898482364
w3d4t4,0.1,300000,0.6,51131491.50563642,29260441.755350254
w3d4t4,0.1,300000,0.8,58549958.25158444,34689926.98743052
w3d4t4,0.1,300000,1,64747391.949978754,39477893.55669452
w4d1t1,0.1,30000,0,885548209.607823,868798503.2794627
w4d1t1,0.1,30000,0.2,886692849.0880157,868988568.6035117
w4d1t1,0.1,30000,0.4,887823665.3101919,869185843.7195197
w4d1t1,0.1,30000,0.6,888941317.814993,869389430.4880232
w4d1t1,0.1,30000,0.8,890046415.8312536,869598521.4773557
w4d1t1,0.1,30000,1,891139524.7174706,869812390.3728992
w4d1t2,0.1,30000,0,885543044.1126299,868682179.8407046
w4d1t2,0.1,30000,0.2,886687661.0610247,868872321.2334217
w4d1t2,0.1,30000,0.4,887818454.3725796,869069666.636644
w4d1t2,0.1,30000,0.6,888936083.6835133,869273318.43217
w4d1t2,0.1,30000,0.8,890041158.2927537,869482469.6488638
w4d1t2,0.1,30000,1,891134243.610537,869696394.3802181
w4d1t3,0.1,30000,0,885434930.6431923,869097082.9828377
w4d1t3,0.1,30000,0.2,886587917.9120655,869257454.4131122
w4d1t3,0.1,30000,0.4,887725960.6362271,869428651.7019162
w4d1t3,0.1,30000,0.6,888849917.9719316,869609230.9735941
w4d1t3,0.1,30000,0.8,889960556.8047041,869797933.2249608
w4d1t3,0.1,30000,1,891058567.9973848,869993656.7948586
w4d1t4,0.1,30000,0,885446177.3947402,869037353.1861931
w4d1t4,0.1,30000,0.2,886594263.8091863,869213968.6413286
w4d1t4,0.1,30000,0.4,887728149.2372212,869398805.2695335
w4d1t4,0.1,30000,0.6,888848569.2978171,869590862.6616768
w4d1t4,0.1,30000,0.8,889956190.0685159,869789243.4295782
w4d1t4,0.1,30000,1,891051619.8184948,869993141.9566118
w4d2t1,0.1,30000,0,169231607.46721277,176014165.43236655
w4d2t1,0.1,30000,0.2,177001565.1623876,176022576.59203878
w4d2t1,0.1,30000,0.4,184637652.44692194,176162064.69881785
w4d2t1,0.1,30000,0.6,192143817.94104457,176425088.54048535
w4d2t1,0.1,30000,0.8,199523828.71261743,176804558.00538608
w4d2t1,0.1,30000,1,206781286.2382451,177293802.4455718
w4d2t2,0.1,30000,0,169231211.28921515,176043645.22082388
w4d2t2,0.1,30000,0.2,177001222.07838872,176049866.3394697
w4d2t2,0.1,30000,0.4,184637357.91553396,176187222.01742652
w4d2t2,0.1,30000,0.6,192143567.59449893,176448168.70549297
w4d2t2,0.1,30000,0.8,199523618.35705975,176825614.09424776
w4d2t2,0.1,30000,1,206781111.85156924,177312885.46505615
w4d2t3,0.1,30000,0,169229059.30759892,176011176.50051886
w4d2t3,0.1,30000,0.2,176998930.14466593,176019113.32124132
w4d2t3,0.1,30000,0.4,184634934.5142474,176158128.05757207
w4d2t3,0.1,30000,0.6,192141020.48404163,176420679.16672
w4d2t3,0.1,30000,0.8,199520954.6986072,176799676.27448943
w4d2t3,0.1,30000,1,206778338.30521134,177288448.52770835
w4d2t4,0.1,30000,0,169229143.41682097,176014260.1928316
w4d2t4,0.1,30000,0.2,176998953.646142,176020615.52686656
w4d2t4,0.1,30000,0.4,184634890.44267654,176158184.49606106
w4d2t4,0.1,30000,0.6,192140903.00872093,176419415.18809104
w4d2t4,0.1,30000,0.8,199520758.94915867,176797207.65376785
w4d2t4,0.1,30000,1,206778060.23116755,177284882.2033663
w4d3t1,0.1,300000,0,12389223.051015873,13756709.35451
w4d3t1,0.1,300000,0.2,76844539.6498484,49920548.07133171
w4d3t1,0.1,300000,0.4,98105706.12502964,73027165.36953583
w4d3t1,0.1,300000,0.6,109673776.07787332,86389791.38098449
w4d3t1,0.1,300000,0.8,117643517.75362168,94831283.47327876
w4d3t1,0.1,300000,1,123881094.24331616,100628731.96846274
w4d3t2,0.1,300000,0,12377758.438788509,13694611.281803364
w4d3t2,0.1,300000,0.2,76841985.33833662,49871233.3306611
w4d3t2,0.1,300000,0.4,98104651.42511946,72991151.04536472
w4d3t2,0.1,300000,0.6,109673185.24329267,86361591.32198822
w4d3t2,0.1,300000,0.8,117643124.23579337,94807777.76958105
w4d3t2,0.1,300000,1,123880800.61483908,100608193.58656925
w4d3t3,0.1,300000,0,12376412.396764688,13702974.885073006
w4d3t3,0.1,300000,0.2,76841965.12038906,49872960.61029004
w4d3t3,0.1,300000,0.4,98104610.24576922,72988207.76144607
w4d3t3,0.1,300000,0.6,109673044.64207579,86356088.28058587
w4d3t3,0.1,300000,0.8,117642896.59793681,94800839.9105284
w4d3t3,0.1,300000,1,123880502.58632383,100600432.41501024
w4d3t4,0.1,300000,0,12376407.152035411,13702456.411315385
w4d3t4,0.1,300000,0.2,76841956.49925038,49872889.52026697
w4d3t4,0.1,300000,0.4,98104609.6789968,72988251.91454138
w4d3t4,0.1,300000,0.6,109673043.35485563,86355953.97776237
w4d3t4,0.1,300000,0.8,117642889.2745521,94800392.53308013
w4d3t4,0.1,300000,1,123880486.21248382,100599616.57816154
w4d4t1,0.1,300000,0,12231556.866854096,13266282.298012922
w4d4t1,0.1,300000,0.2,29687180.17721714,17245992.702587865
w4d4t1,0.1,300000,0.4,41830010.40681885,23256389.804754052
w4d4t1,0.1,300000,0.6,51045705.10098125,29208532.75534137
w4d4t1,0.1,300000,0.8,58442550.71839925,34592990.62253395
w4d4t1,0.1,300000,1,64627076.564779714,39337945.32523849
w4d4t2,0.1,300000,0,12218978.507573716,13201860.431995228
w4d4t2,0.1,300000,0.2,29678575.53159535,17179532.959124792
w4d4t2,0.1,300000,0.4,41823557.694919825,23191946.737050623
w4d4t2,0.1,300000,0.6,51040572.72672357,29147027.417320095
w4d4t2,0.1,300000,0.8,58438292.1479838,34534421.58921915
w4d4t2,0.1,300000,1,64623428.20666438,39282041.47329508
w4d4t3,0.1,300000,0,12215483.19219844,13217011.343755458
w4d4t3,0.1,300000,0.2,29676550.809201613,17192714.842054173
w4d4t3,0.1,300000,0.4,41822285.497559324,23203247.125872433
w4d4t3,0.1,300000,0.6,51039728.79001281,29156634.908092342
w4d4t3,0.1,300000,0.8,58437711.40942523,34542562.40515729
w4d4t3,0.1,300000,1,64623018.37766402,39288931.22586729
w4d4t4,0.1,300000,0,12215503.28916642,13216393.813274035
w4d4t4,0.1,300000,0.2,29676457.814179838,17192841.81805834
w4d4t4,0.1,300000,0.4,41822154.99874453,23204030.752720807
w4d4t4,0.1,300000,0.6,51039590.94757204,29157933.5221829
w4d4t4,0.1,300000,0.8,58437578.29473287,34544238.84280269
w4d4t4,0.1,300000,1,64622894.7299331,39290872.05233596
